"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","num_t1_excluded_cospar","time_generate_sec","time_embed_sec"
2,0.25,2,0.5,0.25,"CoSPAR",0.7575,0.937,0.5926,137,164,0.713,0.6734,TRUE,23.75,2202,0.8318,0.6523,0.5917,0.4942,0.3709,0.2688,0.06668,0.1284,0.2284,0.5003,0.8232,3007,154,0,0.06615,0.7579,39,390,610,2266,741,385,588,0,1.03,4.99
2,0.25,2,0.5,0.25,"Lineage-DE",0.8231,0.9557,0.6324,138,164,NA,NA,TRUE,1.38,2202,0.8318,0.6523,0.5917,0.4942,0.3709,0.2688,0.06668,0.1284,0.2284,0.5003,0.8232,3007,154,0,0.06615,0.7579,39,390,610,2266,741,385,588,0,1.03,4.99
3,0.4,1,0.5,0.4,"CYFER",0.9657,0.9949,0.7268,169,147,0.9783,0.9787,TRUE,7.317,2301,0.6524,0.8038,0.2849,0.5801,0.4365,0.4106,0.09008,0.1408,0.3612,0.8454,1.121,3038,307,2,0.2158,0.6301,27,270,730,2138,900,257,650,20,0.9581,4.754
3,0.4,1,0.5,0.4,"CoSPAR",0.6754,0.8482,0.4978,190,147,0.6044,0.476,TRUE,36.77,2301,0.6524,0.8038,0.2849,0.5801,0.4365,0.4106,0.09008,0.1408,0.3612,0.8454,1.121,3038,307,2,0.2158,0.6301,27,270,730,2138,900,257,650,20,0.9581,4.754
3,0.4,1,0.5,0.4,"Lineage-DE",0.773,0.912,0.4574,264,147,NA,NA,TRUE,1.472,2301,0.6524,0.8038,0.2849,0.5801,0.4365,0.4106,0.09008,0.1408,0.3612,0.8454,1.121,3038,307,2,0.2158,0.6301,27,270,730,2138,900,257,650,20,0.9581,4.754
3,0.4,2,0.5,0.4,"CYFER",0.9476,0.9924,0.7974,139,136,0.9759,0.9744,TRUE,7.615,2302,0.6524,0.8038,0.4993,0.5113,0.3837,0.414,0.0668,0.1651,0.3779,0.8084,1.311,3007,360,0,-0.03274,0.6271,29,290,710,2008,999,281,659,0,0.9222,4.825
3,0.4,2,0.5,0.4,"CoSPAR",0.7629,0.8673,0.4872,212,136,0.5606,0.4974,TRUE,37.05,2302,0.6524,0.8038,0.4993,0.5113,0.3837,0.414,0.0668,0.1651,0.3779,0.8084,1.311,3007,360,0,-0.03274,0.6271,29,290,710,2008,999,281,659,0,0.9222,4.825
3,0.4,2,0.5,0.4,"Lineage-DE",0.781,0.918,0.5771,181,136,NA,NA,TRUE,1.362,2302,0.6524,0.8038,0.4993,0.5113,0.3837,0.414,0.0668,0.1651,0.3779,0.8084,1.311,3007,360,0,-0.03274,0.6271,29,290,710,2008,999,281,659,0,0.9222,4.825
4,0.55,1,0.5,0.55,"CYFER",0.8866,0.9911,0.9706,100,101,0.9747,0.9701,TRUE,6.272,2401,0.45,0.8469,0.3752,0.4746,0.3588,0.5616,0.078,0.1735,0.5086,1.212,1.638,3098,168,0,-0.1865,0.4941,34,340,660,2135,963,328,595,0,0.974,4.578
4,0.55,1,0.5,0.55,"CoSPAR",0.3632,0.7628,0.4516,214,101,0.4966,0.46,TRUE,41.89,2401,0.45,0.8469,0.3752,0.4746,0.3588,0.5616,0.078,0.1735,0.5086,1.212,1.638,3098,168,0,-0.1865,0.4941,34,340,660,2135,963,328,595,0,0.974,4.578
