"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","split_half_reliability","split_half_pearson","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","time_generate_sec","time_embed_sec"
5,0.7,1,0.5,0.7,"CoSPAR",0.3901,0.6093,0.253,381,134,0.4024,0.3285,TRUE,54.2,2501,0.3,0.9905,-0.1514,0.5166,0.3892,0.675,0.04933,0.1399,0.6459,1.415,1.83,3057,344,1,-0.1125,0.3334,0.8652,0.3919,29,290,710,2038,1019,278,655,1.104,5.182
5,0.7,1,0.5,0.7,"Lineage-DE",0.5079,0.8026,0.5412,165,134,NA,NA,TRUE,1.666,2501,0.3,0.9905,-0.1514,0.5166,0.3892,0.675,0.04933,0.1399,0.6459,1.415,1.83,3057,344,1,-0.1125,0.3334,0.8652,0.3919,29,290,710,2038,1019,278,655,1.104,5.182
5,0.7,2,0.5,0.7,"CYFER",0.8551,0.9829,0.3409,306,107,0.9325,0.9288,TRUE,3.884,2502,0.3,0.9905,-0.0941,0.5323,0.3963,0.6852,0.1219,0.1729,0.5936,1.487,2.014,2914,223,1,-0.02572,0.2454,0.8792,0.3827,28,280,720,1951,963,270,682,1.035,5.774
5,0.7,2,0.5,0.7,"CoSPAR",0.217,0.4918,0.2491,244,107,0.3812,0.2434,TRUE,49,2502,0.3,0.9905,-0.0941,0.5323,0.3963,0.6852,0.1219,0.1729,0.5936,1.487,2.014,2914,223,1,-0.02572,0.2454,0.8792,0.3827,28,280,720,1951,963,270,682,1.035,5.774
5,0.7,2,0.5,0.7,"Lineage-DE",0.4534,0.8086,0.7422,116,107,NA,NA,TRUE,1.504,2502,0.3,0.9905,-0.0941,0.5323,0.3963,0.6852,0.1219,0.1729,0.5936,1.487,2.014,2914,223,1,-0.02572,0.2454,0.8792,0.3827,28,280,720,1951,963,270,682,1.035,5.774
6,0.85,1,0.5,0.85,"CYFER",0.2531,0.1491,0.05042,1399,101,0.1073,0.09934,TRUE,4.068,2601,0.15,1.1,-0.2972,0.4986,0.3753,0.8171,0.1389,0.1857,0.8112,1.643,1.853,3046,266,0,-0.2198,0.03731,0.8377,0.2639,29,290,710,2032,1014,288,693,1.124,5.414
6,0.85,1,0.5,0.85,"CoSPAR",0.3244,0.3912,0.1232,510,101,0.2594,0.1822,TRUE,55.25,2601,0.15,1.1,-0.2972,0.4986,0.3753,0.8171,0.1389,0.1857,0.8112,1.643,1.853,3046,266,0,-0.2198,0.03731,0.8377,0.2639,29,290,710,2032,1014,288,693,1.124,5.414
6,0.85,1,0.5,0.85,"Lineage-DE",0.3302,0.6079,0.2222,273,101,NA,NA,TRUE,1.418,2601,0.15,1.1,-0.2972,0.4986,0.3753,0.8171,0.1389,0.1857,0.8112,1.643,1.853,3046,266,0,-0.2198,0.03731,0.8377,0.2639,29,290,710,2032,1014,288,693,1.124,5.414
6,0.85,2,0.5,0.85,"CYFER",0.03282,0.06861,0.05024,1399,106,0.05691,0.06815,TRUE,4.216,2602,0.15,1.1,-0.3977,0.5499,0.4136,0.7781,0.09633,0.1864,0.6578,1.629,2.05,3035,338,0,0.0155,0.1169,0.8671,0.299,29,290,710,2114,921,290,699,1.098,5.389
6,0.85,2,0.5,0.85,"CoSPAR",0.3208,0.6392,0.4091,204,106,0.3467,0.2875,TRUE,53.83,2602,0.15,1.1,-0.3977,0.5499,0.4136,0.7781,0.09633,0.1864,0.6578,1.629,2.05,3035,338,0,0.0155,0.1169,0.8671,0.299,29,290,710,2114,921,290,699,1.098,5.389
6,0.85,2,0.5,0.85,"Lineage-DE",0.3093,0.7116,0.5844,138,106,NA,NA,TRUE,1.448,2602,0.15,1.1,-0.3977,0.5499,0.4136,0.7781,0.09633,0.1864,0.6578,1.629,2.05,3035,338,0,0.0155,0.1169,0.8671,0.299,29,290,710,2114,921,290,699,1.098,5.389
7,1,1,0.5,1,"CYFER",-0.01921,-0.08251,0.04975,1392,106,-0.07846,-0.07829,TRUE,4.382,2701,0,1.286,-0.7875,0.5185,0.3905,0.9455,0.12,0.2211,0.9212,1.72,1.992,3052,358,0,-0.02552,0.0174,0.8799,0.1482,33,330,670,2158,894,329,658,0.9952,5.217
7,1,1,0.5,1,"CoSPAR",0.003641,0.1152,0.05457,551,106,0.1381,0.06833,TRUE,56.45,2701,0,1.286,-0.7875,0.5185,0.3905,0.9455,0.12,0.2211,0.9212,1.72,1.992,3052,358,0,-0.02552,0.0174,0.8799,0.1482,33,330,670,2158,894,329,658,0.9952,5.217
7,1,1,0.5,1,"Lineage-DE",0.2226,0.4577,0.03738,5,106,NA,NA,TRUE,1.385,2701,0,1.286,-0.7875,0.5185,0.3905,0.9455,0.12,0.2211,0.9212,1.72,1.992,3052,358,0,-0.02552,0.0174,0.8799,0.1482,33,330,670,2158,894,329,658,0.9952,5.217
7,1,2,0.5,1,"CYFER",0.2077,0.1189,0.05779,1388,113,0.08999,0.08701,TRUE,4.522,2702,0,1.286,-0.5382,0.4843,0.3619,0.9283,0.06298,0.1597,0.8927,1.689,1.855,2956,334,0,-0.07378,0.1774,0.8639,0.1637,30,300,700,1915,1041,300,689,0.9602,6.125
7,1,2,0.5,1,"CoSPAR",0.2483,0.1591,0.03435,429,113,0.114,0.04698,TRUE,53.77,2702,0,1.286,-0.5382,0.4843,0.3619,0.9283,0.06298,0.1597,0.8927,1.689,1.855,2956,334,0,-0.07378,0.1774,0.8639,0.1637,30,300,700,1915,1041,300,689,0.9602,6.125
7,1,2,0.5,1,"Lineage-DE",0.3867,0.4296,0.008772,2,113,NA,NA,TRUE,1.847,2702,0,1.286,-0.5382,0.4843,0.3619,0.9283,0.06298,0.1597,0.8927,1.689,1.855,2956,334,0,-0.07378,0.1774,0.8639,0.1637,30,300,700,1915,1041,300,689,0.9602,6.125
