"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","split_half_reliability","split_half_pearson","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","time_generate_sec","time_embed_sec"
6,0.75,1,0.75,0.4,"Lineage-DE",0.6235,0.8704,0.4333,229,115,NA,NA,TRUE,1.25,1601,0.6,1.428,-0.8731,0.7316,0.5487,0.4259,0.0449,0.1103,0.3777,0.9101,1.13,3001,435,4,-0.1166,0.3113,0.896,0.6163,18,180,820,2311,690,169,717,0.8534,4.869
6,0.75,2,0.75,0.4,"CYFER",0.9668,0.9923,0.6564,510,512,0.9747,0.9749,TRUE,5.678,1602,0.6,1.428,-0.5503,0.6646,0.5006,0.3759,0.0545,0.08218,0.3294,0.7973,1.047,3053,270,6,0.06033,0.6884,0.917,0.6614,28,280,720,2421,632,265,615,0.9372,4.661
6,0.75,2,0.75,0.4,"CoSPAR",0.6117,0.8092,0.2554,186,512,0.4726,0.3719,TRUE,36.52,1602,0.6,1.428,-0.5503,0.6646,0.5006,0.3759,0.0545,0.08218,0.3294,0.7973,1.047,3053,270,6,0.06033,0.6884,0.917,0.6614,28,280,720,2421,632,265,615,0.9372,4.661
6,0.75,2,0.75,0.4,"Lineage-DE",0.822,0.9326,0.424,294,512,NA,NA,TRUE,1.231,1602,0.6,1.428,-0.5503,0.6646,0.5006,0.3759,0.0545,0.08218,0.3294,0.7973,1.047,3053,270,6,0.06033,0.6884,0.917,0.6614,28,280,720,2421,632,265,615,0.9372,4.661
7,0.9,1,0.9,0.4,"CYFER",0.5481,0.8879,0.1692,1114,365,0.8394,0.8453,TRUE,8.159,1701,0.6,2.058,-2.955,0.9191,0.6901,0.4237,0.05117,0.1279,0.3768,0.7764,0.89,3014,1297,33,0.2295,0.5739,0.8911,0.6182,9,90,910,2693,321,90,545,0.788,4.609
7,0.9,1,0.9,0.4,"CoSPAR",-0.5433,-0.4022,0.2536,752,365,0.01284,-0.1399,TRUE,39.21,1701,0.6,2.058,-2.955,0.9191,0.6901,0.4237,0.05117,0.1279,0.3768,0.7764,0.89,3014,1297,33,0.2295,0.5739,0.8911,0.6182,9,90,910,2693,321,90,545,0.788,4.609
7,0.9,1,0.9,0.4,"Lineage-DE",0.3114,0.6655,0.2185,427,365,NA,NA,TRUE,1.173,1701,0.6,2.058,-2.955,0.9191,0.6901,0.4237,0.05117,0.1279,0.3768,0.7764,0.89,3014,1297,33,0.2295,0.5739,0.8911,0.6182,9,90,910,2693,321,90,545,0.788,4.609
7,0.9,2,0.9,0.4,"CYFER",0.4826,0.881,0.1616,986,308,0.7993,0.8032,TRUE,7.383,1702,0.6,2.058,-2.685,0.8512,0.6361,0.3986,0.04814,0.1196,0.3502,0.7531,0.9021,2956,981,17,-0.003481,0.6255,0.9155,0.6409,14,140,860,2477,479,134,636,0.7757,4.653
7,0.9,2,0.9,0.4,"CoSPAR",0.2792,0.1779,0.003215,4,308,0.1596,0.01641,TRUE,35.25,1702,0.6,2.058,-2.685,0.8512,0.6361,0.3986,0.04814,0.1196,0.3502,0.7531,0.9021,2956,981,17,-0.003481,0.6255,0.9155,0.6409,14,140,860,2477,479,134,636,0.7757,4.653
7,0.9,2,0.9,0.4,"Lineage-DE",0.8019,0.8374,0.4432,340,308,NA,NA,TRUE,1.134,1702,0.6,2.058,-2.685,0.8512,0.6361,0.3986,0.04814,0.1196,0.3502,0.7531,0.9021,2956,981,17,-0.003481,0.6255,0.9155,0.6409,14,140,860,2477,479,134,636,0.7757,4.653
