"level_idx","level","target_gini","target_aed","h2_initial","h2","num_recentre","aed_check","latent_scale","tau","sigma_w","gini_calibrated","num_iter"
1,0.2,0.2,0.4,0.6,1,3,0.571262922420765,0.206758156074106,0.206758156074106,0,0.199448154235673,6
2,0.3,0.3,0.4,0.6,0.784727953212264,2,0.412643431675221,0.386925485886644,0.342757446077552,0.17952343798794,0.309240140616752,6
3,0.4,0.4,0.4,0.6,0.660919343418461,1,0.418907525566368,0.587584675734007,0.477688396725754,0.342154273378277,0.400902867909228,6
4,0.5,0.5,0.4,0.6,0.6,0,0.420859383301049,0.762908429372561,0.590946328328237,0.482505656591799,0.494301831901546,7
5,0.6,0.6,0.4,0.6,0.6,0,0.415446601129718,1.04364970954832,0.808407588870968,0.660062032309172,0.590118871512248,7
6,0.75,0.75,0.4,0.6,0.6,0,0.397699198915474,1.42770046090077,1.10589202168827,0.90295705458372,0.750960726274065,7
7,0.9,0.9,0.4,0.6,0.6,0,0.406321366723115,2.05778422401438,1.59395280593921,1.30145701620952,0.890054470863562,6
