"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","num_t1_excluded_cospar","time_generate_sec","time_embed_sec"
1,0.1,7,0.5,0.1,"CYFER",0.967,0.9913,0.7934,323,328,0.9584,0.9563,TRUE,6.413,2107,1,0.6191,0.6841,0.495,0.3713,0.1282,0.05442,0.06183,0.1155,0.2249,0.3291,3001,178,0,-0.04292,0.8845,32,320,680,2059,942,320,670,0,1.012,4.699
1,0.1,7,0.5,0.1,"CoSPAR",0.8617,0.9231,0.5385,352,328,0.7568,0.6412,TRUE,11.92,2107,1,0.6191,0.6841,0.495,0.3713,0.1282,0.05442,0.06183,0.1155,0.2249,0.3291,3001,178,0,-0.04292,0.8845,32,320,680,2059,942,320,670,0,1.012,4.699
1,0.1,7,0.5,0.1,"Lineage-DE",0.9068,0.9447,0.5599,505,328,NA,NA,TRUE,1.348,2107,1,0.6191,0.6841,0.495,0.3713,0.1282,0.05442,0.06183,0.1155,0.2249,0.3291,3001,178,0,-0.04292,0.8845,32,320,680,2059,942,320,670,0,1.012,4.699
1,0.1,8,0.5,0.1,"CYFER",0.9741,0.9915,0.7793,432,479,0.9604,0.9542,TRUE,6.093,2108,1,0.6191,0.7251,0.4747,0.356,0.1301,0.05697,0.07077,0.1188,0.2339,0.3703,3002,220,1,-0.1954,0.8828,33,330,670,1995,1007,330,660,10,1.084,4.691
1,0.1,8,0.5,0.1,"CoSPAR",0.8886,0.9398,0.5393,403,479,0.7457,0.6739,TRUE,12.01,2108,1,0.6191,0.7251,0.4747,0.356,0.1301,0.05697,0.07077,0.1188,0.2339,0.3703,3002,220,1,-0.1954,0.8828,33,330,670,1995,1007,330,660,10,1.084,4.691
1,0.1,8,0.5,0.1,"Lineage-DE",0.9273,0.9614,0.6592,485,479,NA,NA,TRUE,1.34,2108,1,0.6191,0.7251,0.4747,0.356,0.1301,0.05697,0.07077,0.1188,0.2339,0.3703,3002,220,1,-0.1954,0.8828,33,330,670,1995,1007,330,660,10,1.084,4.691
1,0.1,9,0.5,0.1,"CYFER",0.925,0.9832,0.72,191,196,0.9698,0.9573,TRUE,6.68,2109,1,0.6191,0.6876,0.5345,0.4013,0.1291,0.06085,0.0694,0.1217,0.221,0.2794,3011,303,1,0.008743,0.8837,27,270,730,2016,995,270,720,10,0.9527,4.519
1,0.1,9,0.5,0.1,"CoSPAR",0.6159,0.8843,0.4641,110,196,0.7713,0.593,TRUE,15.41,2109,1,0.6191,0.6876,0.5345,0.4013,0.1291,0.06085,0.0694,0.1217,0.221,0.2794,3011,303,1,0.008743,0.8837,27,270,730,2016,995,270,720,10,0.9527,4.519
1,0.1,9,0.5,0.1,"Lineage-DE",0.7262,0.933,0.5427,111,196,NA,NA,TRUE,1.353,2109,1,0.6191,0.6876,0.5345,0.4013,0.1291,0.06085,0.0694,0.1217,0.221,0.2794,3011,303,1,0.008743,0.8837,27,270,730,2016,995,270,720,10,0.9527,4.519
1,0.1,10,0.5,0.1,"CYFER",0.96,0.9869,0.7156,358,414,0.9459,0.938,TRUE,6.762,2110,1,0.6191,0.5259,0.4331,0.3258,0.1182,0.04947,0.06739,0.1045,0.1994,0.5754,3035,140,0,-0.02132,0.8935,39,390,610,2141,894,390,610,0,0.9414,4.455
1,0.1,10,0.5,0.1,"CoSPAR",0.7823,0.901,0.4506,349,414,0.7469,0.7015,TRUE,11.94,2110,1,0.6191,0.5259,0.4331,0.3258,0.1182,0.04947,0.06739,0.1045,0.1994,0.5754,3035,140,0,-0.02132,0.8935,39,390,610,2141,894,390,610,0,0.9414,4.455
1,0.1,10,0.5,0.1,"Lineage-DE",0.8125,0.915,0.5018,418,414,NA,NA,TRUE,1.419,2110,1,0.6191,0.5259,0.4331,0.3258,0.1182,0.04947,0.06739,0.1045,0.1994,0.5754,3035,140,0,-0.02132,0.8935,39,390,610,2141,894,390,610,0,0.9414,4.455
1,0.1,11,0.5,0.1,"CYFER",0.9564,0.9916,0.8193,153,149,0.9698,0.9571,TRUE,6.163,2111,1,0.6191,0.7285,0.5475,0.4094,0.1222,0.04497,0.06508,0.1086,0.2164,0.2773,2966,229,0,-0.03782,0.8899,27,270,730,2031,935,270,730,0,0.9492,4.852
1,0.1,11,0.5,0.1,"CoSPAR",0.6669,0.8972,0.6121,117,149,0.7782,0.5795,TRUE,11.84,2111,1,0.6191,0.7285,0.5475,0.4094,0.1222,0.04497,0.06508,0.1086,0.2164,0.2773,2966,229,0,-0.03782,0.8899,27,270,730,2031,935,270,730,0,0.9492,4.852
1,0.1,11,0.5,0.1,"Lineage-DE",0.7577,0.9392,0.6353,129,149,NA,NA,TRUE,1.34,2111,1,0.6191,0.7285,0.5475,0.4094,0.1222,0.04497,0.06508,0.1086,0.2164,0.2773,2966,229,0,-0.03782,0.8899,27,270,730,2031,935,270,730,0,0.9492,4.852
