"level_idx","level","target_gini","target_aed","h2","latent_scale","tau","sigma_w","gini_calibrated","num_iter"
1,0.1,0.5,0.1,0.9,0.687245068905166,0.651977918537905,0.217325972845968,0.506200856224801,7
2,0.25,0.5,0.25,0.75,0.724089121664231,0.627079573965185,0.362044560832116,0.493164689785477,6
3,0.4,0.5,0.4,0.6,0.803808887875547,0.6226276872551,0.508373377834727,0.504505048126586,5
4,0.55,0.5,0.55,0.45,0.892305531041154,0.598576747232121,0.66175149293345,0.503465426655139,6
5,0.7,0.5,0.7,0.3,0.990545355664084,0.542544035529197,0.828749703553118,0.507461950474543,4
6,0.85,0.5,0.85,0.15,1.09960105310883,0.425873656616263,1.01378207944229,0.507413292752392,6
7,1,0.5,1,0,1.2861046802624,0,1.2861046802624,0.507368030004243,7
