"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","split_half_reliability","split_half_pearson","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","time_generate_sec","time_embed_sec"
3,0.4,2,0.5,0.4,"Lineage-DE",0.781,0.918,0.5771,181,136,NA,NA,TRUE,1.376,2302,0.6524,0.8038,0.4993,0.5113,0.3837,0.414,0.0668,0.1651,0.3779,0.8084,1.311,3007,360,0,-0.03274,0.4346,0.8775,0.6271,29,290,710,2008,999,281,659,0.9055,4.765
4,0.55,1,0.5,0.55,"CYFER",0.8866,0.9911,0.9706,100,101,0.9747,0.9701,TRUE,5.862,2401,0.45,0.8469,0.3752,0.4746,0.3588,0.5616,0.078,0.1735,0.5086,1.212,1.638,3098,168,0,-0.1865,0.02865,0.8328,0.4941,34,340,660,2135,963,328,595,0.988,4.815
4,0.55,1,0.5,0.55,"CoSPAR",0.3632,0.7628,0.4516,214,101,0.4966,0.46,TRUE,40.19,2401,0.45,0.8469,0.3752,0.4746,0.3588,0.5616,0.078,0.1735,0.5086,1.212,1.638,3098,168,0,-0.1865,0.02865,0.8328,0.4941,34,340,660,2135,963,328,595,0.988,4.815
4,0.55,1,0.5,0.55,"Lineage-DE",0.4748,0.8582,0.6405,150,101,NA,NA,TRUE,1.327,2401,0.45,0.8469,0.3752,0.4746,0.3588,0.5616,0.078,0.1735,0.5086,1.212,1.638,3098,168,0,-0.1865,0.02865,0.8328,0.4941,34,340,660,2135,963,328,595,0.988,4.815
4,0.55,2,0.5,0.55,"CYFER",0.8704,0.9865,0.8966,109,111,0.9738,0.9699,TRUE,7.293,2402,0.45,0.8469,0.3308,0.4695,0.3512,0.575,0.07513,0.186,0.4835,1.431,1.856,2969,264,0,0.05199,0.2153,0.8564,0.482,35,350,650,2061,908,318,586,0.9649,4.826
4,0.55,2,0.5,0.55,"CoSPAR",0.5718,0.8334,0.6985,120,111,0.4645,0.4351,TRUE,40.28,2402,0.45,0.8469,0.3308,0.4695,0.3512,0.575,0.07513,0.186,0.4835,1.431,1.856,2969,264,0,0.05199,0.2153,0.8564,0.482,35,350,650,2061,908,318,586,0.9649,4.826
4,0.55,2,0.5,0.55,"Lineage-DE",0.5389,0.8925,0.8393,95,111,NA,NA,TRUE,1.31,2402,0.45,0.8469,0.3308,0.4695,0.3512,0.575,0.07513,0.186,0.4835,1.431,1.856,2969,264,0,0.05199,0.2153,0.8564,0.482,35,350,650,2061,908,318,586,0.9649,4.826
5,0.7,1,0.5,0.7,"CYFER",0.9245,0.9913,0.8258,125,116,0.9763,0.9773,TRUE,5.721,2501,0.3,0.9905,0.2993,0.4357,0.3274,0.7011,0.08519,0.1546,0.6455,1.529,1.891,3023,113,1,-0.01444,0.2562,0.8506,0.3683,36,360,640,2055,968,350,591,0.8953,4.613
5,0.7,1,0.5,0.7,"CoSPAR",0.3503,0.7533,0.5706,151,116,0.4086,0.3604,TRUE,44.7,2501,0.3,0.9905,0.2993,0.4357,0.3274,0.7011,0.08519,0.1546,0.6455,1.529,1.891,3023,113,1,-0.01444,0.2562,0.8506,0.3683,36,360,640,2055,968,350,591,0.8953,4.613
5,0.7,1,0.5,0.7,"Lineage-DE",0.6297,0.8428,0.5706,162,116,NA,NA,TRUE,1.3,2501,0.3,0.9905,0.2993,0.4357,0.3274,0.7011,0.08519,0.1546,0.6455,1.529,1.891,3023,113,1,-0.01444,0.2562,0.8506,0.3683,36,360,640,2055,968,350,591,0.8953,4.613
5,0.7,2,0.5,0.7,"CYFER",0.9337,0.994,0.8803,117,103,0.9805,0.9814,TRUE,5.992,2502,0.3,0.9905,0.05132,0.4614,0.3476,0.7157,0.0734,0.1863,0.6511,1.472,1.706,3054,161,0,-0.06553,0.1567,0.8626,0.3552,31,310,690,1984,1070,300,651,0.9083,4.826
5,0.7,2,0.5,0.7,"CoSPAR",0.3361,0.6091,0.2507,331,103,0.4063,0.3289,TRUE,46.81,2502,0.3,0.9905,0.05132,0.4614,0.3476,0.7157,0.0734,0.1863,0.6511,1.472,1.706,3054,161,0,-0.06553,0.1567,0.8626,0.3552,31,310,690,1984,1070,300,651,0.9083,4.826
5,0.7,2,0.5,0.7,"Lineage-DE",0.4878,0.7929,0.5879,159,103,NA,NA,TRUE,1.409,2502,0.3,0.9905,0.05132,0.4614,0.3476,0.7157,0.0734,0.1863,0.6511,1.472,1.706,3054,161,0,-0.06553,0.1567,0.8626,0.3552,31,310,690,1984,1070,300,651,0.9083,4.826
6,0.85,1,0.5,0.85,"CYFER",0.8586,0.9816,0.6011,177,124,0.9579,0.9582,TRUE,7.051,2601,0.1056,1.159,-0.398,0.5367,0.3992,0.8336,0.1374,0.1997,0.7263,1.648,1.953,2905,263,2,-0.1084,0.2764,0.9037,0.249,25,250,750,1882,1023,249,717,0.8895,4.692
6,0.85,1,0.5,0.85,"CoSPAR",0.3709,0.4535,0.1931,327,124,0.2244,0.1733,TRUE,44.38,2601,0.1056,1.159,-0.398,0.5367,0.3992,0.8336,0.1374,0.1997,0.7263,1.648,1.953,2905,263,2,-0.1084,0.2764,0.9037,0.249,25,250,750,1882,1023,249,717,0.8895,4.692
6,0.85,1,0.5,0.85,"Lineage-DE",0.4777,0.715,0.6176,96,124,NA,NA,TRUE,1.278,2601,0.1056,1.159,-0.398,0.5367,0.3992,0.8336,0.1374,0.1997,0.7263,1.648,1.953,2905,263,2,-0.1084,0.2764,0.9037,0.249,25,250,750,1882,1023,249,717,0.8895,4.692
6,0.85,2,0.5,0.85,"CYFER",0.7263,0.9605,0.37,272,139,0.953,0.949,TRUE,7.107,2602,0.1056,1.159,-0.3185,0.5198,0.3908,0.8576,0.07022,0.2852,0.7855,1.582,1.766,3030,236,0,-0.09568,0.2909,0.8583,0.2274,31,310,690,2099,931,308,675,0.8583,4.763
6,0.85,2,0.5,0.85,"CoSPAR",0.5603,0.4188,0.1286,572,139,0.2466,0.1765,TRUE,69.6,2602,0.1056,1.159,-0.3185,0.5198,0.3908,0.8576,0.07022,0.2852,0.7855,1.582,1.766,3030,236,0,-0.09568,0.2909,0.8583,0.2274,31,310,690,2099,931,308,675,0.8583,4.763
6,0.85,2,0.5,0.85,"Lineage-DE",0.5979,0.6774,0.4483,113,139,NA,NA,TRUE,1.272,2602,0.1056,1.159,-0.3185,0.5198,0.3908,0.8576,0.07022,0.2852,0.7855,1.582,1.766,3030,236,0,-0.09568,0.2909,0.8583,0.2274,31,310,690,2099,931,308,675,0.8583,4.763
7,1,1,0.5,1,"CYFER",0.8142,0.9803,0.5714,175,100,0.9628,0.9665,TRUE,8.102,2701,0,1.253,-0.5626,0.4795,0.3584,0.9212,0.1449,0.2655,0.8397,1.737,1.801,2959,327,1,-0.04019,0.09458,0.8748,0.1701,31,310,690,1948,1011,310,677,0.8434,4.647
7,1,1,0.5,1,"CoSPAR",-0.1052,0.1159,0.05492,457,100,0.1222,0.05523,TRUE,58.92,2701,0,1.253,-0.5626,0.4795,0.3584,0.9212,0.1449,0.2655,0.8397,1.737,1.801,2959,327,1,-0.04019,0.09458,0.8748,0.1701,31,310,690,1948,1011,310,677,0.8434,4.647
7,1,1,0.5,1,"Lineage-DE",0.2461,0.4516,0,0,100,NA,NA,TRUE,1.26,2701,0,1.253,-0.5626,0.4795,0.3584,0.9212,0.1449,0.2655,0.8397,1.737,1.801,2959,327,1,-0.04019,0.09458,0.8748,0.1701,31,310,690,1948,1011,310,677,0.8434,4.647
7,1,2,0.5,1,"CYFER",0.8324,0.9805,0.364,283,103,0.951,0.9542,TRUE,6.825,2702,0,1.253,-0.7326,0.5247,0.3987,0.9505,0.12,0.2812,0.9214,1.676,1.835,3163,223,1,0.03204,0.07648,0.8652,0.1437,28,280,720,2116,1047,278,704,0.9123,4.695
7,1,2,0.5,1,"CoSPAR",0.03293,0.2256,0.08633,501,103,0.1467,0.1201,TRUE,49.12,2702,0,1.253,-0.7326,0.5247,0.3987,0.9505,0.12,0.2812,0.9214,1.676,1.835,3163,223,1,0.03204,0.07648,0.8652,0.1437,28,280,720,2116,1047,278,704,0.9123,4.695
7,1,2,0.5,1,"Lineage-DE",0.2175,0.4693,0.009709,1,103,NA,NA,TRUE,1.24,2702,0,1.253,-0.7326,0.5247,0.3987,0.9505,0.12,0.2812,0.9214,1.676,1.835,3163,223,1,0.03204,0.07648,0.8652,0.1437,28,280,720,2116,1047,278,704,0.9123,4.695
