"level_idx","level","target_gini","target_aed","h2_initial","h2","num_recentre","aed_check","latent_scale","tau","sigma_w","gini_calibrated","num_iter"
1,0.1,0.5,0.1,0.9,1,3,0.130158120223579,0.619085812333867,0.619085812333867,0,0.504034950860292,7
2,0.25,0.5,0.25,0.75,0.831819461503702,1,0.266915261565288,0.652275763581324,0.59490248136071,0.267497120407807,0.5051128813086,3
3,0.4,0.5,0.4,0.6,0.652435812805346,1,0.405091907427688,0.803808887875547,0.649264563380664,0.473882110831207,0.503839056490212,5
4,0.55,0.5,0.55,0.45,0.45,0,0.572156262644263,0.846902070224999,0.56811917979252,0.628079385192083,0.502439457534728,7
5,0.7,0.5,0.7,0.3,0.3,0,0.70598052888272,0.990545355664084,0.542544035529197,0.828749703553118,0.506749201283881,4
6,0.85,0.5,0.85,0.15,0.105632014537154,1,0.84666662962343,1.15855201696108,0.376541907929657,1.09565458406255,0.503992826649157,7
7,1,0.5,1,0,0,3,0.932157561633878,1.25295687488854,0,1.25295687488854,0.499248774420147,8
