"level_idx","level","target_gini","target_aed","h2","latent_scale","tau","sigma_w","gini_calibrated","num_iter"
1,0.2,0.2,0.4,0.6,0.254791075757034,0.197360318633853,0.161144025375347,0.20100395200989,6
2,0.3,0.3,0.4,0.6,0.429524674789231,0.33270838244877,0.271655256715415,0.307226368758112,4
3,0.4,0.4,0.4,0.6,0.587584675734007,0.455141132720899,0.371621178706186,0.393873751085312,6
4,0.5,0.5,0.4,0.6,0.803808887875547,0.6226276872551,0.508373377834727,0.499878394640429,5
5,0.6,0.6,0.4,0.6,1.04364970954832,0.808407588870968,0.660062032309172,0.609051549605473,7
6,0.75,0.75,0.4,0.6,1.42770046090077,1.10589202168827,0.90295705458372,0.756114202804532,7
7,0.9,0.9,0.4,0.6,2.2843393155682,1.7694416252565,1.44474303717313,0.894639856955549,4
