"scenario","n_converged","cor_z_cyfer","auroc_cyfer","auroc_naive","auprc_cyfer","auprc_naive","sens_cyfer","spec_cyfer","prec_cyfer","f1_cyfer","jac_cyfer","sens_naive","spec_naive","prec_naive","f1_naive","jac_naive"
"priming",10,0.958,0.778,0.728,0.517,0.443,0.9,0.34,0.255,0.397,0.248,0.89,0.335,0.251,0.392,0.244
"plasticity",10,0.846,0.954,0.862,0.789,0.621,0.99,0.488,0.339,0.5,0.338,0.91,0.505,0.317,0.469,0.308
