"model","correlation","jaccard","gini","n_valid_clones"
"exponential",0.998930243625391,1,0.818194543680935,57
"linear",0.97838317194653,1,0.187871268358665,60
"logistic",0.971484067041227,0.666666666666667,0.384411639879396,60
"power_law",0.99464004706221,1,0.314652447870015,60
