"f_dying","bias_cyfer","bias_naive","bias_oracle","cor_cyfer","cor_naive","cor_oracle","cor_fate","mean_adapt_cyfer","mean_adapt_naive","mean_adapt_oracle","mean_adapt_true"
0.1,0.0235988629782492,0.510319629902625,0.00215734906644632,0.408780659958623,0.924849318251724,0.941270621562838,0.591882272378264,1.7521803970873,2.23890116401168,1.7307388831755,1.72858153410905
0.1,0.917414677836115,0.508156469663284,0.00307825061480399,0.184143117236156,0.926300290246691,0.942970463842205,-0.417057884362412,2.6337711892015,2.22451298102867,1.71943476198019,1.71635651136538
0.1,0.540529503522612,0.513581888479185,0.00247192890877316,0.711864460161868,0.887871128511337,0.968555351791828,-0.052537420268015,2.26840686511378,2.24145925007035,1.73034929049994,1.72787736159116
0.1,0.510002196807485,0.510799890680604,0.0053094668715251,0.310075932455363,0.967149014824022,0.942776379945925,-0.0068078640860882,2.23425311231852,2.23505080619164,1.72956038238256,1.72425091551104
0.1,0.405745822099965,0.50952922023597,0.00365635366261374,0.300407342149801,0.911729710506282,0.961234021073833,0.189564598200675,2.13605907421064,2.23984247234665,1.73396960577329,1.73031325211068
0.1,0.951988600612276,0.506868291641347,0.00445003164006188,-0.150087695398755,0.885498340337375,0.955515813344122,-0.413506698080146,2.68600073829075,2.24088042931982,1.73846216931854,1.73401213767848
0.1,0.874310949661948,0.508528235203885,0.00376513813205722,0.0136988436784363,0.793327610677602,0.920377103262895,-0.467613028806207,2.60153748109468,2.23575476663661,1.73099166956478,1.72722653143273
0.1,0.3451115169364,0.5131551162123,0.0020893651500714,0.749860659370747,0.938342198007268,0.990932122467995,0.352774817969026,2.06992578069477,2.23796937997067,1.72690362890844,1.72481426375837
0.1,0.300547101608518,0.51275353229954,0.000740740020323716,0.740156393961747,0.897201509630709,0.942832203526655,0.409460807842539,2.04614940917817,2.25835583986919,1.74634304758998,1.74560230756965
0.1,0.295579349953615,0.506906020593606,0.00341761638688212,0.618337047149354,0.945705956259749,0.972804248624101,0.409507793507623,2.02468429146967,2.23601096210966,1.73252255790293,1.72910494151605
0.25,1.4556781101277,1.27125547015672,0.00830660805184692,0.522079995436575,0.778835015343295,0.934515042977995,-0.138073875742946,3.19040638895752,3.00598374898654,1.74303488688166,1.73472827882981
0.25,0.986854644023483,1.28317645426985,0.0078065193391115,-0.0997457798928114,0.821400954339295,0.980386238887528,0.346681870998769,2.70396779012882,3.00028960037518,1.72491966544445,1.71711314610533
0.25,1.11227903021339,1.27495978431751,0.0065471862628465,0.460932794311538,0.853878098058893,0.975986235610107,0.144998083490516,2.84647438759961,3.00915514170373,1.74074254364906,1.73419535738621
0.25,1.67040011488284,1.27708530013781,0.00357522877578383,0.444056958934571,0.810431797472703,0.944217772265783,-0.412258091814673,3.40201299100882,3.00869817626378,1.73518810490176,1.73161287612597
0.25,1.00416376554849,1.27057167310303,0.00519573740756217,0.378931704363325,0.862344524539348,0.969400305817567,0.30978840231189,2.73453746201453,3.00094536956907,1.7355694338736,1.73037369646604
0.25,1.18132985579207,1.2777193031482,0.0103439008828282,0.499377902293849,0.871452127543456,0.960957893180179,0.133072768077337,2.90626683517497,3.0026562825311,1.73528088026573,1.7249369793829
